customer_id,customer_city,customer_state_province,marital_status,gender,num_children_at_home,total_revenue,days_visited,income,age,num_stores
1787,Hidalgo,Zacatecas,M,F,1,1046.14,45,20000,64,2
5466,Merida,Yucatan,S,M,0,1010.5399999999996,30,40000,46,1
1770,Hidalgo,Zacatecas,S,M,0,956.11,37,40000,80,2
4386,Hidalgo,Zacatecas,S,M,0,934.9899999999996,37,20000,57,2
4026,Hidalgo,Zacatecas,M,F,2,930.7599999999996,33,100000,25,2
7633,Hidalgo,Zacatecas,S,F,0,905.4000000000004,34,60000,33,2
7836,Hidalgo,Zacatecas,S,M,0,893.7599999999996,32,40000,29,2
4226,Hidalgo,Zacatecas,M,F,5,885.1800000000004,29,80000,57,2
4579,Hidalgo,Zacatecas,M,F,1,879.9900000000002,36,60000,84,2
4620,Hidalgo,Zacatecas,M,F,1,866.7199999999997,39,40000,41,2
1942,Hidalgo,Zacatecas,S,F,0,866.0999999999996,36,100000,60,2
1259,Hidalgo,Zacatecas,M,F,0,859.8299999999996,37,20000,28,2
4953,Hidalgo,Zacatecas,S,M,0,857.1099999999996,34,20000,19,2
4853,Hidalgo,Zacatecas,S,M,0,848.8300000000005,34,40000,48,2
6311,Hidalgo,Zacatecas,S,M,0,848.1800000000002,43,80000,86,2
7472,Hidalgo,Zacatecas,M,M,0,840.8100000000002,41,20000,39,2
7016,Hidalgo,Zacatecas,S,F,0,836.3400000000001,34,40000,73,2
1444,Hidalgo,Zacatecas,M,F,5,830.3299999999998,39,20000,88,2
7134,Hidalgo,Zacatecas,M,F,1,823.5599999999997,34,40000,57,2
6652,Hidalgo,Zacatecas,M,F,2,823.3999999999995,34,80000,41,2
850,Hidalgo,Zacatecas,M,M,1,820.8300000000003,36,100000,70,2
6033,Merida,Yucatan,S,M,0,805.8299999999996,26,140000,43,1
1612,Hidalgo,Zacatecas,M,M,2,799.41,37,140000,40,2
4256,Hidalgo,Zacatecas,M,F,1,798.7600000000004,39,20000,21,2
6934,Hidalgo,Zacatecas,S,F,0,796.8000000000001,34,80000,49,2
7152,Hidalgo,Zacatecas,M,M,0,787.2200000000004,40,140000,81,2
8279,Hidalgo,Zacatecas,S,F,0,782.1500000000001,34,80000,25,2
5478,Hidalgo,Zacatecas,S,M,0,777.21,34,40000,27,2
5295,Spokane,WA,S,M,0,772.9700000000005,27,40000,56,1
9610,Merida,Yucatan,S,M,0,772.0399999999995,28,40000,54,1
4771,Hidalgo,Zacatecas,S,M,0,770.4399999999996,37,40000,87,2
6406,Hidalgo,Zacatecas,M,M,2,768.33,30,20000,66,2
4676,Spokane,WA,M,F,0,768.0200000000003,35,40000,68,1
5129,Merida,Yucatan,S,F,0,765.1199999999997,27,60000,58,1
1693,Hidalgo,Zacatecas,M,M,3,765.0699999999998,38,40000,35,2
272,Hidalgo,Zacatecas,S,F,0,763.5699999999999,35,40000,82,2
5114,Hidalgo,Zacatecas,M,F,1,759.7900000000006,29,40000,58,2
4871,Merida,Yucatan,S,F,0,748.8800000000001,28,80000,44,1
4325,Hidalgo,Zacatecas,S,F,0,745.9400000000003,34,80000,39,2
1853,Hidalgo,Zacatecas,S,F,0,742.7900000000001,36,20000,28,2
9143,Merida,Yucatan,M,F,3,737.56,26,60000,42,1
1720,Spokane,WA,S,F,0,736.3699999999998,28,40000,76,1
4225,Hidalgo,Zacatecas,S,M,0,735.06,32,120000,88,2
3808,Hidalgo,Zacatecas,M,F,3,730.32,33,120000,40,2
6527,Hidalgo,Zacatecas,S,F,0,726.9899999999998,23,100000,55,2
7812,Merida,Yucatan,S,F,0,712.0499999999989,35,60000,45,1
1871,Hidalgo,Zacatecas,M,F,0,711.9199999999993,35,40000,55,2
7793,Hidalgo,Zacatecas,M,M,4,711.4299999999996,35,40000,79,2
789,Hidalgo,Zacatecas,M,F,3,707.5699999999999,39,60000,45,2
7782,Hidalgo,Zacatecas,S,F,0,707.54,41,40000,74,2
3858,Hidalgo,Zacatecas,S,F,0,705.3299999999999,29,20000,79,2
5148,Hidalgo,Zacatecas,S,F,0,701.22,29,40000,27,2
4727,Spokane,WA,M,F,3,700.9800000000001,22,150000,69,1
1636,Hidalgo,Zacatecas,S,F,0,699.46000000000015,37,40000,69,2
2998,Merida,Yucatan,M,M,3,698.72,26,140000,34,1
7239,Hidalgo,Zacatecas,S,M,0,698.7099999999997,36,40000,65,2
5559,Merida,Yucatan,M,F,3,698.41,31,140000,18,1
7069,Hidalgo,Zacatecas,M,F,1,697.7900000000003,33,140000,73,2
4731,Hidalgo,Zacatecas,S,F,0,696.1800000000003,38,20000,68,2
3495,Hidalgo,Zacatecas,M,F,1,688.8300000000003,24,20000,18,2
6387,Merida,Yucatan,S,F,0,681.8800000000003,26,60000,23,1
4049,Hidalgo,Zacatecas,S,F,0,680.4799999999999,31,80000,38,2
6260,Hidalgo,Zacatecas,S,F,0,680.47,28,140000,48,2
4780,Hidalgo,Zacatecas,M,F,3,678.9400000000002,32,60000,65,2
7261,Hidalgo,Zacatecas,S,M,0,675.3299999999999,31,40000,63,2
5348,Hidalgo,Zacatecas,S,F,0,674.0500000000001,28,20000,74,2
5642,Merida,Yucatan,S,M,0,673.6500000000003,23,40000,32,1
1495,Hidalgo,Zacatecas,M,F,2,669.06,30,40000,52,2
3210,Hidalgo,Zacatecas,S,M,0,668.46000000000015,27,40000,71,2
4391,Spokane,WA,M,F,3,667.4100000000002,24,40000,61,1
5512,Merida,Yucatan,S,F,0,664.8299999999999,26,40000,47,1
4732,Camacho,Zacatecas,M,M,1,662.5800000000002,28,60000,40,1
4914,Hidalgo,Zacatecas,S,F,0,661.0399999999993,27,60000,40,2
9868,Hidalgo,Zacatecas,M,F,0,659.51,34,80000,41,2
1297,Spokane,WA,S,M,0,650.3600000000002,28,40000,37,1
5481,Merida,Yucatan,M,F,1,648.5800000000003,31,40000,40,1
1222,Hidalgo,Zacatecas,M,M,1,643.4400000000004,36,40000,41,2
8915,Hidalgo,Zacatecas,S,M,0,640.6899999999998,33,20000,68,2
1284,Hidalgo,Zacatecas,S,F,0,639.9699999999997,30,40000,27,2
5102,Merida,Yucatan,S,F,0,638.45,25,80000,35,1
597,Hidalgo,Zacatecas,S,M,0,637.2300000000001,30,40000,24,2
1550,Orizaba,Veracruz,S,F,0,635.03,27,40000,29,1
5174,Spokane,WA,M,M,2,634.9400000000003,27,40000,55,1
4174,Camacho,Zacatecas,S,F,0,634.05,25,60000,81,1
8087,Merida,Yucatan,M,F,2,631.21,28,20000,24,1
9644,Hidalgo,Zacatecas,M,F,1,630.2099999999996,31,20000,72,2
2023,Hidalgo,Zacatecas,M,F,0,628.3499999999998,32,40000,45,2
8169,Hidalgo,Zacatecas,M,F,3,626.81,28,80000,61,2
3753,Merida,Yucatan,M,F,3,621.61,20,40000,56,1
4009,Hidalgo,Zacatecas,M,M,0,621.1699999999998,32,60000,67,2
7063,Hidalgo,Zacatecas,M,F,4,613.6099999999997,28,120000,65,2
8364,Camacho,Zacatecas,M,F,0,613.53,24,40000,43,1
7356,Merida,Yucatan,M,F,2,612.0699999999999,28,20000,50,1
2175,Camacho,Zacatecas,M,F,5,610.7000000000003,22,120000,56,1
1930,Merida,Yucatan,S,F,0,610.6800000000002,28,20000,57,1
1753,Merida,Yucatan,M,F,0,610.3900000000001,27,20000,64,1
8775,Merida,Yucatan,M,F,1,608.6099999999998,25,140000,54,1
4913,Merida,Yucatan,S,M,0,607.7199999999999,25,100000,27,1
4655,Merida,Yucatan,M,F,2,607.3599999999998,27,60000,60,1
2063,Orizaba,Veracruz,M,M,2,605.0400000000002,25,20000,48,1
6669,Hidalgo,Zacatecas,M,M,4,601.0300000000001,32,60000,80,2
8355,Hidalgo,Zacatecas,M,F,4,600.9300000000001,31,80000,73,2
2118,Merida,Yucatan,S,F,0,598.09,29,20000,83,1
486,Merida,Yucatan,M,M,2,597.1999999999995,24,40000,29,1
2446,Camacho,Zacatecas,S,M,0,597.01,25,20000,48,1
6193,Merida,Yucatan,M,M,5,595.2299999999998,23,100000,33,1
9480,Merida,Yucatan,M,M,3,593.6999999999998,23,40000,31,1
3661,Merida,Yucatan,M,M,1,589.1600000000002,26,120000,76,1
322,Hidalgo,Zacatecas,S,M,0,588.4200000000001,24,20000,24,2
8670,Merida,Yucatan,M,M,1,587.81,29,40000,50,1
6394,Merida,Yucatan,M,M,0,585.5100000000001,26,20000,44,1
6111,Camacho,Zacatecas,S,M,0,583.6,19,60000,21,1
8452,Spokane,WA,M,M,4,583.57,20,140000,53,1
3864,Merida,Yucatan,S,M,0,582.49,26,80000,47,1
1119,Merida,Yucatan,M,F,0,582.3999999999995,26,40000,55,1
3440,Hidalgo,Zacatecas,M,F,1,580.5500000000002,17,20000,64,2
7711,Merida,Yucatan,M,M,0,579.42,27,80000,57,1
564,Hidalgo,Zacatecas,M,F,3,579.2600000000004,28,150000,57,2
4761,Merida,Yucatan,M,F,1,578.3100000000001,22,20000,59,1
5665,Merida,Yucatan,M,F,3,577.0100000000002,25,80000,56,1
2310,Hidalgo,Zacatecas,M,F,1,576.5699999999999,26,20000,61,2
1425,Orizaba,Veracruz,M,F,1,575.46000000000015,25,40000,85,1
